Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,Ratings.Internet Movie Database,Ratings.Rotten Tomatoes,Ratings.Metacritic
"Leslie Acoca, Beth Adubato, Brigitte Alexander, Patricia Arquette",1 win.,,USA,24-Apr-18,Kamala Lopez,,"Documentary, History, News",English,71,"The film does an outstanding job of laying out the many ways women are disadvantaged in the United States under the Constitution. Using facts, figures, interviews, colorful graphics, news footage and occasional humor, the audience is led through current challenges to wage parity, legal protections, maternity leave, ending violence and poverty. The argument is clear and compelling. It's provocative but avoids man-bashing as it makes the case for why men and women should be fighting to get the Equal Rights Amendment passed.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NzM5NDI3M15BMl5BanBnXkFtZTgwNDg1NjI2ODE@._V1_SX300.jpg,Heroica Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",1-Mar-16,TRUE,93 min,Equal Means Equal,movie,http://equalmeansequal.com/,"Kamala Lopez, Gini Sikes",2016,tt3250590,6.4,79,,0.64,0.83,0.71
"Morgan Saylor, Brian Marc, Justin Bartha, Chris Noth",1 win & 3 nominations.,"$198,493 ",USA,,Elizabeth Wood,,"Crime, Drama",English,65,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",https://m.media-amazon.com/images/M/MV5BMjMzMDY1NDcyNl5BMl5BanBnXkFtZTgwNTc0ODc4OTE@._V1_SX300.jpg,Killer Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",1-Dec-16,TRUE,88 min,White Girl,movie,http://www.whitegirl.nyc/,Elizabeth Wood,2016,tt4129870,5.7,"6,791",,0.57,0.69,0.65
"Tim Allen, Courteney Cox, Chevy Chase, Spencer Breslin",4 wins & 8 nominations.,"$11,600,000 ",USA,2-Sep-07,Peter Hewitt,,"Action, Adventure, Comedy",English,26,"Former superhero Jack Shepard, (also known as Captain Zoom), is called back to work to transform an unlikely group of ragtag kids into a new generation of superheroes at a privacy Academy and save the world from certain destruction. The project holds an audition of would-be members, most of whom possess useless or disgusting powers. In the end, Dylan, a 17-year-old boy who can turn invisible Summer, a 16-year-old girl with telekinetic powers Tucker, a 12-year-old boy with the power to enlarge any part of his body Cindy, a 6-year-old girl with super strength.",https://m.media-amazon.com/images/M/MV5BMTM0NjczMzUyM15BMl5BanBnXkFtZTcwMDEwMjQzMQ@@._V1_SX300.jpg,Sony Pictures Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",11-Aug-06,TRUE,83 min,Zoom,movie,http://www.sonypictures.com/movies/zoom/index.html,"Adam Rifkin (screenplay), David Berenbaum (screenplay), Adam Rifkin (screen story), Jason Lethcoe (novel)",2006,tt0383060,4.3,"16,763",,0.43,0.03,0.26
"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",1 win & 9 nominations.,"$12,533,911 ","UK, New Zealand, USA",24-Jan-17,Derek Cianfrance,,"Drama, Romance",English,60,A war weary man takes a job as a lighthouse keeper on an island for the solitude. He meets a beautiful young woman and they eventually marry. One day they see a small dingy with an infant and man inside floating in the ocean. They rush to rescue them only to find the man is dead. They struggle over the decision to report it and whether to keep the baby. It's only years later that they discover that the child still has a mother looking for her.,https://m.media-amazon.com/images/M/MV5BNTI1NzQzMjgxOF5BMl5BanBnXkFtZTgwOTY1OTY2OTE@._V1_SX300.jpg,Dreamworks Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",2-Sep-16,TRUE,133 min,The Light Between Oceans,movie,,"Derek Cianfrance (written for the screen by), M.L. Stedman (novel)",2016,tt2547584,7.2,"42,070",,0.72,0.6,0.6
"Natasha Lyonne, Chloë Sevigny, Meg Tilly, Mark Webber",2 nominations.,,"Canada, USA",7-Feb-17,Danny Perez,,Horror,English,56,"In a desolate community full of drug-addled Marines and rumors of kidnapping, a wild-eyed stoner named Lou wakes up after a wild night of partying with symptoms of a strange illness and recurring visions as she struggles to get a grip on reality while stories of conspiracy spread.",https://m.media-amazon.com/images/M/MV5BMzMzNjEyNzkxOV5BMl5BanBnXkFtZTgwMjc1OTY2OTE@._V1_SX300.jpg,Traverse Media,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",2-Sep-16,TRUE,94 min,Antibirth,movie,,Danny Perez,2016,tt3333870,4.9,"2,567",,0.49,0.68,0.56
"Rosa Delor, Emanuela Forgetta, Patricia Gil, Mireia Iniesta",3 wins & 5 nominations.,,Spain,,José Luis Guerín,,Drama,"Spanish, Catalan, Italian",82,"After his classes, a teacher is questioned by his wife, who mistrusted the academic project is plotting her husband. The teacher's intention is to create a ""school of the Muses"" inspired by the classic references, that should be used to regenerate the world through engagement with poetry. The controversial order triggered a round of scenes around the word and desire.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjhjNjNhYmYtM2VlYi00ZTgxLTk1MzEtMTBhOWZlNTY2ODcwXkEyXkFqcGdeQXVyNDg4MjMyOTI@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '82/100'}]",13-Apr-16,TRUE,92 min,The Academy of Muses,movie,,José Luis Guerín,2015,tt4944506,7.1,336,,0.71,-1,0.82
"Kerry Bishé, Dean Stockwell, Illeana Douglas, Kevin Pollak",,"&pound;56,365",USA,,Daniel Noah,,Drama,English,38,A jazz pianist makes a discovery days before the death of his wife that causes him to believe his sixty-five year marriage was a lie. He embarks on an exploration of his own past that brings him face to face with a menagerie of characters from a bygone era.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzU0Njg4NjIwMF5BMl5BanBnXkFtZTgwMDk1NjUzOTE@._V1_SX300.jpg,Paladin,UNRATED,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",2-Sep-16,TRUE,83 min,Max Rose,movie,https://www.facebook.com/MaxRoseMovie,"Daniel Noah (screenplay), Daniel Noah",2013,tt1439558,6.3,350,,0.63,0.37,0.38
"Lily-Rose Depp, Harley Quinn Smith, Adam Brody, Harley Morenstein",1 nomination.,,USA,22-Nov-16,Kevin Smith,,"Comedy, Fantasy, Horror","English, French, German",23,"Set in the Great White North of Canada, YOGA HOSERS tells the story of Colleen Collette and Colleen McKenzie - two teenage besties from Winnipeg who spend their lives doing Yoga with their faces in their phones, 'Liking' or 'Not Liking' the real world around them. But when these Sophomore girls are invited to a Senior party by the school hottie, the Colleens accidentally uncover an ancient evil, long buried beneath the Manitoba earth.",https://m.media-amazon.com/images/M/MV5BMTU0MjUzMDc3Ml5BMl5BanBnXkFtZTgwNjg5NjYwOTE@._V1_SX300.jpg,Invincible Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",2-Sep-16,TRUE,88 min,Yoga Hosers,movie,,Kevin Smith,2016,tt3838992,4.3,"9,398",,0.43,0.2,0.23
"Aiden Longworth, Sarah Gadon, Michael Adamthwaite, Beckham Skodje",2 wins & 4 nominations.,,"UK, Canada, USA",7-Feb-17,Alexandre Aja,,"Mystery, Thriller",English,41,"The story begins on Louis Drax's 9th birthday, when a lifetime of curious mishaps culminates in the boy's near-fatal fall. Desperate to reveal the strange circumstances behind the young boy's accident and dark coincidences that have plagued his entire life, Dr. Allan Pascal (Dornan) is drawn into a thrilling mystery that explores the nature of the sixth sense, testing the boundaries of fantasy and reality.",https://m.media-amazon.com/images/M/MV5BMjQ0NjQxNDk4NV5BMl5BanBnXkFtZTgwMjE0ODc4OTE@._V1_SX300.jpg,Lionsgate's Summit Premiere and Miramax,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",2-Sep-16,TRUE,108 min,The 9th Life of Louis Drax,movie,http://www.louis-drax-movie.com/,"Liz Jensen (based on the novel by), Max Minghella (screenplay)",2016,tt3991412,6.3,"10,975",,0.63,0.39,0.41
"Jackie Chan, Johnny Knoxville, Bingbing Fan, Eric Tsang",,,"China, Hong Kong, USA",25-Oct-16,Renny Harlin,,"Action, Adventure, Comedy","Mandarin, English, Mongolian",50,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,https://m.media-amazon.com/images/M/MV5BMTc2NzgxMjY2NV5BMl5BanBnXkFtZTgwMzcxMjc0OTE@._V1_SX300.jpg,Saban Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",2-Sep-16,TRUE,107 min,Skiptrace,movie,http://www.logicalmoviereviews.com/skiptrace-movie-official-trailer/,"Jay Longino (story), Jay Longino (screenplay), BenDavid Grabinski (screenplay), Wen-Chia Chang (development executive)",2016,tt2238032,5.7,"15,832",,0.57,0.37,0.5
"Alain Moussi, Georges St-Pierre, T.J. Storm, Matthew Ziff",,,USA,8-Nov-16,John Stockwell,,"Action, Crime, Drama",English,37,"Eric and Kurt Sloane are the descendants of a well-known Venice, California-based family of martial artists. Kurt has always been in older brother, Eric's shadow, as he lacks the instincts needed to become a champion. Against Kurt's concerns, Eric accepts a paid offer and travels to Thailand to challenge the Muay Thai champion Tong Po and fails with dire consequences. Kurt sets out for revenge. He trains with his brother's mentor, Durand, for a Muay Thai fight against the merciless champion, Tong Po. Durand first thinks Kurt is impossible to train, but through a series of spiritual exercises and tests, Durand discovers that Kurt has a deeper strength that will carry him through his final showdown with Tong Po.",https://m.media-amazon.com/images/M/MV5BODAwNjYyNjcxOF5BMl5BanBnXkFtZTgwODcyMDA1OTE@._V1_SX300.jpg,Headmon Entertainment & Productions,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",1-Sep-16,TRUE,90 min,Kickboxer: Vengeance,movie,http://www.kickboxervengeance.com/,"Dimitri Logothetis (screenplay by), Jim McGrath (screenplay by), Jean-Claude Van Damme (based on characters created by), Mark DiSalle (based on characters created by)",2016,tt3082898,4.9,"8,864",,0.49,0.43,0.37
"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare",2 nominations.,"$3,912,052 ",USA,13-Dec-16,Luke Scott,,"Action, Horror, Sci-Fi","English, Chinese",48,A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.,https://m.media-amazon.com/images/M/MV5BMjA1MjYyNDkxN15BMl5BanBnXkFtZTgwMTgxODAwOTE@._V1_SX300.jpg,Scott Free Films,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",2-Sep-16,TRUE,92 min,Morgan,movie,http://www.foxmovies.com/movies/morgan,Seth W. Owen,2016,tt4520364,5.8,"33,228",,0.58,0.37,0.48
"John Berger, Tilda Swinton",,,UK,6-Dec-16,"Bartek Dziadosz, Colin MacCabe, Christopher Roth, Tilda Swinton",,"Documentary, Biography",English,56,,https://images-na.ssl-images-amazon.com/images/M/MV5BZDJhZjU1ODItNGQ5OC00NGU5LWIyNjEtZWVjNGZlNWZlMjJiXkEyXkFqcGdeQXVyMzYzNDkzNjY@._V1_SX300.jpg,Derek Jarman Lab,,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",31-Aug-16,TRUE,90 min,The Seasons in Quincy: Four Portraits of John Berger,movie,http://seasonsinquincy.com/,"Ben Lerner, Tilda Swinton",2016,tt5298558,7.2,86,,0.72,0.68,0.56
"Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh",1 nomination.,"$21,203,260 ","France, USA",22-Nov-16,Dennis Gansel,,"Action, Adventure, Crime","English, Portuguese, Thai, Bulgarian",38,"Arthur Bishop, the master assassin who faked his death in hopes of putting that part of his ;life behind him, now lives a quiet life in Rio. But someone who knows who he is shows up and tells him, that if he wants to continue living this life, he will do three jobs for someone. Bishop tries to tell them he has the wrong man but they know who he is and if he won't do the job, they will take him but he gets away. He then goes to a resort in Thailand run by a friend, Mae, where he tries to find out who is looking for him. Later a woman named Gina shows up looking for medical assistance and Mae can't help but notice bruises all over her body. Mae deduces she's a battered woman and when Mae hears her being beaten, Mae asks Bishop to help her. He goes and kills the guy she's with. He kills the man and then sets fire to the boat he's on. But he sees that Gina has a photo of him. He deduces that they one who wants him, sent her. He confronts her and she admits that she works at a children's shelter in Cambodia and that someone told her if she didn't do what he said, the children would be endanger. While waiting for the man to come, they get close. And when the man's people comes, they grab them. Bishop is brought to the man who wants him to do the jobs and he tells Bishop that if he doesn't do it, Gina will be killed. So Bishop has no choice but to do it.",https://m.media-amazon.com/images/M/MV5BMjYwODExNzUwMV5BMl5BanBnXkFtZTgwNTgwNjUyOTE@._V1_SX300.jpg,Summit Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",26-Aug-16,TRUE,98 min,Mechanic: Resurrection,movie,http://www.mechanic.movie/,"Lewis John Carlino (based upon the characters created by), Philip Shelby (story by), Philip Shelby (screenplay by), Tony Mosher (screenplay by)",2016,tt3522806,5.7,"62,533",,0.57,0.33,0.38
"Margherita Buy, John Turturro, Giulia Lazzarini, Nanni Moretti",11 wins & 23 nominations.,,"Italy, France, Germany",,Nanni Moretti,,Drama,"Italian, English, French",70,"These are hard days for Margherita, who is going through a very difficult period in her life. On a professional level first, the middle-aged film director, has started wondering whether the committed movies she has been making are really an actual reflection of the world she lives in ; on top of this, she is in conflict not only with her crew but also, and primarily, with Barry Huggins, a well-known American actor of Italian origin, who proves awfully bad and uncontrollable. On the personal level, things do not get any better - it could even be said they are worse. Margherita has just left her life partner and she has become unable to relate to her teenage daughter. As for her mother, she is now seriously ill and her doctor tries to prepare her brother and her for the worst. Which is unacceptable to the weakened woman who can find salvation only in denial of reality. Will she manage to face up to the facts and to come to terms with herself?",https://m.media-amazon.com/images/M/MV5BMTU5OTM2MDQxNV5BMl5BanBnXkFtZTgwMTg3OTY2OTE@._V1_SX300.jpg,,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '70/100'}]",26-Aug-16,TRUE,106 min,Mia Madre,movie,,"Nanni Moretti (story), Valia Santella (story), Gaia Manzini (story), Chiara Valerio (story), Nanni Moretti (screenplay), Francesco Piccolo (screenplay), Valia Santella (screenplay)",2015,tt3013610,6.8,"5,929",,0.68,-1,0.7
"Soria Zeroual, Zita Hanrot, Kenza Noah Aïche, Chawki Amari",5 wins & 1 nomination.,"$49,086 ","France, Canada",,Philippe Faucon,,"Drama, Family","French, Arabic",69,"Fatima lives on her own with two daughters to support: 15-year old Souad, a teenager in revolt, and 18-year old Nesrine, who is starting medical school. Fatima speaks French poorly and is constantly frustrated by her daily interactions with her daughters. Her pride and joy, they are also a source of worry. To ensure the best possible future for them, she works odd hours as a cleaning woman. One day, she takes a fall on the stairs. On leave, Fatima begins to write to her daughters in Arabic that which she has never been able to express in French.",https://ia.media-imdb.com/images/M/MV5BMjExOTAyMTA0M15BMl5BanBnXkFtZTgwMzkzMDI4OTE@._V1_SX300.jpg,,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",7-Oct-15,TRUE,79 min,Fatima,movie,,"Philippe Faucon (scenario), Aziza Boudjellal (scenario consultant), Mustapha Kharmoudi (scenario consultant), Yasmina Nini-Faucon (scenario consultant), Fatima Elayoubi (books)",2015,tt4466544,6.5,959,,0.65,0.84,0.69
"Kåre Conradi, Huyen Huynh, Anders Baasmo Christiansen, Adil Halitaj",3 wins & 10 nominations.,"$49,284 ","Norway, Sweden, Denmark",,Hans Petter Moland,,"Crime, Drama, Thriller","Norwegian, Swedish, Danish, English, Serbian, German",74,"Nils ploughs snow in the wild winter mountains of Norway, and is recently awarded a Citizen of the Year Award. When his son is murdered for something he did not do, Nils wants revenge. And justice. His actions ignite a war between the vegan gangster ""the Count"" and the Serbian mafia boss ""Papa"". Winning a blood feud isn't easy, especially not in a welfare state. But Nils has something going for him: Heavy machinery and beginners luck.",https://m.media-amazon.com/images/M/MV5BMTUzNTA0NTY0Nl5BMl5BanBnXkFtZTgwNTI1NDgzOTE@._V1_SX300.jpg,Magnet Releasing,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",21-Feb-14,TRUE,116 min,In Order of Disappearance,movie,,Kim Fupz Aakeson,2014,tt2675914,7.2,"17,384",,0.72,0.85,0.74
"Edgar Ramírez, Robert De Niro, Usher Raymond, Rubén Blades",,"$4,711,216 ","Panama, USA",22-Nov-16,Jonathan Jakubowicz,,"Action, Biography, Drama","English, Spanish",54,"Follows the life of Roberto Duran, who made his professional debut in 1968 as a 16-year-old and retired in 2002 at age 50. In June 1980, he defeated Sugar Ray Leonard to capture the WBC welterweight title but shocked the boxing world by returning to his corner in the November rematch, saying 'no mas' (no more).",https://ia.media-imdb.com/images/M/MV5BMjQxNzE4ODU1Nl5BMl5BanBnXkFtZTgwMDA4Njk0ODE@._V1_SX300.jpg,Fuego Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",26-Aug-16,TRUE,111 min,Hands of Stone,movie,,Jonathan Jakubowicz,2016,tt1781827,6.6,"11,581",,0.66,0.44,0.54
"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks",,,France,11-Oct-16,Jean-François Richet,,"Action, Crime, Drama","English, Spanish",66,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,https://m.media-amazon.com/images/M/MV5BMTk3MzU4ODk1Ml5BMl5BanBnXkFtZTgwNzc5MzE2OTE@._V1_SX300.jpg,,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",26-Aug-16,TRUE,88 min,Blood Father,movie,,"Peter Craig (screenplay by), Andrea Berloff (screenplay by), Peter Craig (based upon the novel by)",2016,tt3647498,6.4,"48,882",,0.64,0.88,0.66
"Erin Darke, Rachel Weisz, Hansel Tan, FaTye",1 win & 3 nominations.,"$187,145 ",USA,4-Oct-16,Joshua Marston,,"Drama, Mystery","English, Persian",58,"This shape-shifting tale of the perils and pleasures of self-reinvention begins at a dinner party, when Tom's (Michael Shannon) co-worker arrives with an intriguing date named Alice (Rachel Weisz). Tom is convinced he knows her, but she refuses to acknowledge their history. And when Alice makes a hasty exit, Tom sets off after her. What follows is an all-night odyssey shared by two people, one needing to change his life, the other questioning how to stop changing.",https://m.media-amazon.com/images/M/MV5BMTcyNzY0OTUyMl5BMl5BanBnXkFtZTgwMDM0NTk2OTE@._V1_SX300.jpg,Parts and Labor,R,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",26-Aug-16,TRUE,91 min,Complete Unknown,movie,http://completeunknownmovie.com/,"Joshua Marston, Julian Sheppard",2016,tt4230700,5.4,"4,795",,0.54,0.51,0.58
"John Perry Barlow, Dean Chamberlain, Ram Dass, Peggy Mellon Hitchcock",,,USA,27-Jun-17,Gay Dillingham,,"Documentary, Biography, History",English,69,"Dying to Know is an intimate portrait celebrating two very complex controversial characters in an epic friendship that shaped a generation. In the early 1960s Harvard psychology professors Timothy Leary and Richard Alpert began probing the edges of consciousness through their experiments with psychedelics. Leary became the LSD guru, asking us to think for ourselves, igniting a global counter-cultural movement and landing in prison after Nixon called him 'the most dangerous man in America'. Alpert journeyed to the East becoming Ram Dass, a spiritual teacher for an entire generation who continues in his 80s teaching service through compassion. With interviews spanning 50 years the film invites us into the future encouraging us to ponder questions about life, drugs & the biggest mystery of all: death.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTVlMDZiZTItMDRjZC00MGViLTljNWYtODg2YTNkYjUyMTcxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,CNS Communications,,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",26-Aug-16,TRUE,95 min,Dying to Know: Ram Dass & Timothy Leary,movie,http://dyingtoknowmovie.com/,David Leach,2014,tt2516424,7.2,120,,0.72,0.78,0.69
"Cosmo Anzilotti, Jane Baer, Dave Bossert, Suzanne Bothke",2 wins & 1 nomination.,,USA,26-Aug-16,"Michael Fiore(co-director), Erik Sharkey(co-director)",,"Documentary, Biography",English,68,"Animator. Storyman. Troublemaker. At 80 years old, see how Disney Legend Floyd Norman, the first African-American animator at Disney, continues to impact animation and stir up ""trouble"" after the company forced him to retire at age 65.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwMjQxMDU0Nl5BMl5BanBnXkFtZTgwNjM5NTA2OTE@._V1_SX300.jpg,Michael Fiore Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",26-Aug-16,TRUE,94 min,Floyd Norman: An Animated Life,movie,http://www.floydnormanmovie.com/,,2016,tt5507860,7.5,354,,0.75,0.93,0.68
"Max Records, Christopher Lloyd, Laura Fraser, Christina Baldwin",10 wins & 6 nominations.,,"Ireland, UK, USA",26-Aug-16,Billy O'Brien,,"Drama, Horror, Thriller",English,54,"A creature of unknown origin falls in love with a human woman. To stay by her side he kills people and steals their body parts so that he can maintain his human form. Old age see's them living in a Minnesota town with young John as a helpful neighbor. Essentially though, John's observations of the recent murders in their town, combined with his understanding of a killers mentality, lead him to uncover his elderly neighbors strange secret.",https://m.media-amazon.com/images/M/MV5BNWVmMTBiMGQtYjQ2ZC00MGFkLThlOGItNWI0MDZhZmJiZjQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Floodland Pictures,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",26-Aug-16,TRUE,104 min,I Am Not a Serial Killer,movie,,"Billy O'Brien, Christopher Hyde, Dan Wells (based on the novel by)",2016,tt4303340,6.2,"11,073",,0.62,0.92,0.54
"Margo Martindale, Sharlto Copley, Richard Jenkins, John Krasinski",1 win & 3 nominations.,"$1,016,965 ",USA,6-Dec-16,John Krasinski,,"Comedy, Drama, Romance",English,53,"Aspiring NYC artist John Hollar returns to his middle America hometown on the eve of his mother's brain surgery. Joined by his girlfriend, eight months pregnant with their first child, John is forced to navigate the crazy world he left behind as his dysfunctional family, high school pals, and over-eager ex flood back into his life ahead of his mother's operation.",https://m.media-amazon.com/images/M/MV5BMTUyODk3ODUyMV5BMl5BanBnXkFtZTgwMDQ4NjI0OTE@._V1_SX300.jpg,Sony Pictures Classics,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",26-Aug-16,TRUE,88 min,The Hollars,movie,http://sonyclassics.com/thehollars/,Jim Strouse,2016,tt3714720,6.5,"9,061",,0.65,0.45,0.53
"Melanie Lynskey, Jason Ritter, Skylar Bernon, Kira Pozehl",1 win & 2 nominations.,,USA,26-Aug-16,Clea DuVall,,"Comedy, Drama",English,57,"A young couple, Peter and Ruby, are married with three children. On a weekend trip a tight-knit group of friends confront them about their constant bickering and propose they divorce. Reacting in anger, the couple clearly realize the truth in what their friends are trying to say; nonetheless, they remember their old feelings for each other and decide instead to strive to improve their relationship. Later, the intervention is turned around on Annie (Lynskey) and her alcohol problem, while she begins to realize that her conspired marriage intervention for Ruby and Peter may have been based on her suppressed doubts about her own impending wedding.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NTAxMDk1OF5BMl5BanBnXkFtZTgwMDU3NjA0OTE@._V1_SX300.jpg,Burn Later Productions,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",26-Aug-16,TRUE,90 min,The Intervention,movie,,Clea DuVall,2016,tt4872078,6.1,"4,024",,0.61,0.82,0.57
"Alon Aboutboul, Naruna Kaplan de Macedo, Rani Blair, Suzanne Sadler",1 nomination.,,"Israel, Canada, USA",,Dani Menkin,,"Drama, Romance",English,46,"IS THAT YOU? Is the story of RONNIE, 60 year old Israeli film projectionist, who has been fired from his job and is going now to the U.S. in a search for RACHEL, the love of his youth IS THAT YOU? Is a romantic, road trip journey to 'The Road Not Taken' in life created by Award Winning filmmaker Dani Menkin (HBO Cinemax-39 Pounds of Love, Je Taime, I Love You Terminal, Dolphin Boy).",https://images-na.ssl-images-amazon.com/images/M/MV5BNzg3NjcwNDMwNl5BMl5BanBnXkFtZTgwMDM2NTY3NDE@._V1_SX300.jpg,Hey Jude,,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",6-Nov-14,TRUE,81 min,Is That You?,movie,http://heyjudeproductions.com/isthatyou.html,"Dani Menkin (story), Rod Barr (story), Dani Menkin, Eshkol Nevo, Yaron Kaver (script translation), Tanya Schiller (script supervisor), Nathan Rickard (additional writer)",2014,tt3830420,8.2,48,,0.82,0.38,0.46
